번호,제목,내용,지역,지원분야대,사업번호,지원기간,지원대상,업종,조회수,활성화,등록일자,접수기관_담당부서,기업형태,접수기관명,접수팀,접수기관_전화번호,접수기관_홈페이지URL,접수기관_담당자명,접수기관_담당자e-mail
11,2020년 민관 협력기반 ICT스타트업 육성사업 신규 공고,"대기업과 정부가 ICT 기술창업 기업을 공동 발굴하고, 고성장 기업으로 도약할 수 있도록 민ㆍ관이 협력하여 성장 전주기를 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 대기업 창업 프로그램 내 창업 5년 이내 국내 ICT 중소기업<br />&nbsp;<br />☞ 과제당 최고 5억원, 3년(2년 6개월) 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,창업@기술@동반성장@사업화지원@기술사업화/이전/지도@동반성장,PBLN_000000000051182,20200327 ~ 20200417,창업벤처,제조업(10~34)@정보통신업(58~63),397,1,2020-03-12 15:50,과학기술정보통신부,창업기업,정보통신기획평가원,중소기업지원팀,042-612-8596,https://www.iitp.kr/main.it,사업담당자,jehong@iitp.kr
12,2020년 조달청 혁신시제품 지정ㆍ구매 공고,"상용화 이전의 혁신 제품을 구매하여 공공서비스를 개선하고, 공공수요에 기반한 테스트 기회와 초기판로 개척을 도모해 드리는 사업입니다.<br />&nbsp;<br />☞ 제안제품(제품, 제품 및 서비스 포함)을 직접 생산하는 국내 제조 기업<br />&nbsp;<br />☞ 혁신시제품 지정 및 구매(1개 제안당 최대 구매금액 5억원 이내) 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,내수@제도@공공구매@인증,PBLN_000000000051154,차수별 상이,중소기업,제조업(10~34),383,1,2020-03-12 15:44,조달청,중소기업,직접수행,혁신조달과,042-724-7203,http://venture.g2b.go.kr,사업담당자,NULL
13,2020년 연구개발사업 우수연구개발 혁신제품(해양수산 연구개발사업 완료) 지정제도 공고,"<p style=""margin: 0px"">해양수산 연구개발사업을 통한 개발한 기술을 사업화한 제품을 대상으로 혁신제품의 공공시장 진입지원 및 조달연계를 활성화하기 위해 '우수연구개발 혁신제품'으로 지정 및 수의계약 연계를 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 해양수산 연구개발사업 완료(성공) 기술을 사업화한 제품 보유 중소기업<br />&nbsp;<br />☞ 우수연구개발 혁신제품으로 지정&nbsp;및 수의계약 연계 지원</p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,제도@기술@내수@인증@기술사업화/이전/지도@공공구매,PBLN_000000000051161,상시 접수,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",280,1,2020-03-12 10:41,해양수산부,중소기업,해양수산과학기술진흥원,기술인증평가팀,02-3460-4006,https://www.kimst.re.kr/,사업담당자,swhan@kimst.re.kr
14,2020년 정보통신산업진흥원 IoT혁신센터 입주기업 모집 공고,"지능형ㆍ자율형 사물인터넷 네트워크 분야 유망 강소기업 육성을 위해 판교 IoT혁신센터 내 업무(입주)공간, 공용공간 등을 제공해 드리는 사업입니다.<br />&nbsp;<br />☞ 지능형ㆍ자율형 사물인터넷 분야 사업을 영위하는 중소기업(법인)으로 공고마감일 기준 설립 7년 이하 기업<br />&nbsp;<br />☞ IoT혁신센터 내 업무(입주)공간, 공용공간 등 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,경영@기술@창업@시설/입지지원@기술정보제공@사업화지원,PBLN_000000000051128,20200309 ~ 20200327,창업벤처,"제조업(10~34)@정보통신업(58~63)@예술, 스포츠 및 여가관련 서비스업(90~91)",310,1,2020-03-12 10:38,과학기술정보통신부,창업기업,정보통신산업진흥원,IoT혁신센터,043-931-5711,http://www.nipa.kr/,사업담당자,jyc@nipa.kr
15,2020년 규제샌드박스 융합신제품인증기술개발사업 신규지원 대상과제 공고,"<p style=""margin: 0px"">규제샌드박스 신청 융합신제품의 시장출시 애로해소를 위해 기술ㆍ인증기준(안) 개발을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞  기업, 대학, 연구기관, 연구조합, 사업자단체, 의료기관 등</p>
<p style=""margin: 0px"">&nbsp;</p>
<p style=""margin: 0px"">☞ 과제당 정부출연금 1.5억원/년 이내 지원</p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@기술@공동기술개발@기술사업화/이전/지도,PBLN_000000000051116,20200316 ~ 20200408,중소기업,"전문, 과학 및 기술 서비스업(70~73)",278,1,2020-03-12 10:31,산업통상자원부,중소기업@중견기업,한국산업기술평가관리원,표준인증팀,053-718-8272,http://www.keit.re.kr/,김의수,kes80@keit.re.kr
16,2020년 시제품제작 지원사업 참여기업 모집 공고(스마트 헬스케어 VR기반 구축사업),"<p style=""margin: 0px"">헬스케어 및 VR 관련 중소ㆍ벤처기업의 제품 생상성 및 경쟁력 향상을 위하여 시제품 제작 비용을 지원해 드리는 사업입니다.</p>
<p style=""margin: 0px""><br />☞ 헬스케어 및 VR관련 제품을 생산ㆍ판매하는 기업</p>
<p style=""margin: 0px""><br />☞ 기업당 30백만원 이내 지원<br /></p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,경영@디자인/상품화/사업화,PBLN_000000000051140,20200309 ~ 20200323,중소기업,제조업(10~34),552,1,2020-03-12 9:54,산업통상자원부,중소기업,스마트헬스케어VR사업단,기업지원팀,042-470-9357,http://shvr.or.kr/,사업담당자,NULL
17,2020년 지식재산권 창출ㆍ강화 지원사업 참여기업 모집 공고(스마트 헬스케어 VR기반 구축사업),"<p style=""margin: 0px"">헬스케어 및 VR 관련 중소ㆍ벤처기업의 경쟁력 강화 및 애로사항 해결을 위하여 지식재산권 출원, 기술 이전 비용을 지원해 드리는 사업입니다. </p>
<p style=""margin: 0px""><br />☞ 헬스케어 및 VR관련 제품을 생산ㆍ판매하는 기업</p>
<p style=""margin: 0px""><br />☞ 기업당 최대 20백만원 지원</p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@기술@기술사업화/이전/지도@시험/인증,PBLN_000000000051145,상시 접수,중소기업,제조업(10~34),449,1,2020-03-12 9:45,산업통상자원부,중소기업,스마트헬스케어VR사업단,기업지원팀,042-470-9357,http://shvr.or.kr/,사업담당자,NULL
18,2020년 KoVAC Shared Infra(실감콘텐츠 개발ㆍ테스트 장비) 지원 공고,"국내 중소기업의 실감콘텐츠 발굴 및 산업 활성화를 위하여 개발 및 테스트에 필요한 워크스테이션, 360카메라, AR Glass, HMD 등 고가장비를 무상 임대 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 실감콘텐츠룰 개발ㆍ서비스 하는 국내 중소기업<br />&nbsp;<br />☞ 워크스테이션, HMD 등 장비  최소 1개월 이상 최대 3개월 이하 무상 임대 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@기술인력/장비지원,PBLN_000000000051141,상시 접수,중소기업,"제조업(10~34)@정보통신업(58~63)@전문, 과학 및 기술 서비스업(70~73)",243,1,2020-03-12 9:23,과학기술정보통신부,중소기업,정보통신산업진흥원,VRㆍAR산업팀,02-2132-0503,http://www.nipa.kr/,이현철,chaerr@nipa.kr
19,2020년 현장코칭 숙련인력 양성사업 참여기업 및 참여자 모집 공고,"<p style=""margin: 0px"">중소기업의 숙련기술자 구인애로 완화와 신규 인력의 숙련도를 신속히 높이기 위해 현장코칭을 통한 숙련인력 양성ㆍ공급을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 코로나19 피해기업 및 소재ㆍ부품 장비 중소기업 등</p>
<p style=""margin: 0px"">&nbsp;</p>
<p style=""margin: 0px"">☞ 직무교육, 현장실습, 현장코칭, 취업연계 등 지원</p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,인력@인력@경영@교육/훈련/연수@인력정보제공@컨설팅,PBLN_000000000051135,예산 소진시까지,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",1565,1,2020-03-12 9:05,중소벤처기업부,중소기업,중소벤처기업진흥공단,기업인력애로센터 사후관리센터,1899-3001,http://www.kosmes.or.kr/,사업담당자,job@kosmes.or.kr
20,2020년 헬스케어 VR 제품 시장진출 지원사업 참여기업 모집 공고(스마트 헬스케어 VR기반 구축사업),"<p style=""margin: 0px"">국내 헬스케어 VR 제품의 경쟁력 강화와 효율적인 시장 진출을 위하여 필수적으로 요구되는 임상시험, 의료기기 시험평가, 전자파 시험평가 등을 지원해 드리는 사업입니다</p>
<p style=""margin: 0px""><br />☞ 헬스케어 VR관련 제품을 생산ㆍ판매하는 기업</p>
<p style=""margin: 0px""><br />☞ 시험성적서 발급 및 임상시험 비용 지원</p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@수출@시험/인증@해외수출준비,PBLN_000000000051163,20200309 ~ 20200323,중소기업,"제조업(10~34)@전문, 과학 및 기술 서비스업(70~73)",398,1,2020-03-11 17:54,산업통상자원부,중소기업,한국산업기술시험원,의료기기연구센터,02-860-1638,https://www.ktl.re.kr/,김기영,kimgy02@ktl.re.kr
21,코로나19 대응 e-store 36.5+(공동판매장) 상품 할인 프로모션 참여기업(상품) 모집 공고,"<p style=""margin: 0px"">코로나19 사태에 경영난을 겪고 있는 사회적경제기업의 온라인 판로&nbsp;지원&nbsp;및 매출확대 도모를 위하여 상품 할인 프로모션 및 전용 기획관 운영을 지원해 드리는 사업입니다.</p>
<p style=""margin: 0px""><br />☞ e-store 36.5+ 입점한 (예비)사회적기업, 한국사회적기업진흥원 육성사업 창업팀 기업</p>
<p style=""margin: 0px""><br />☞ 상품 할인 프로모션 비용 지원(1개 기업 당 최대 5개 상품)</p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,내수@내수@온라인판매@홍보지원,PBLN_000000000051143,20200310 ~ 20200319,사회적기업,제조업(10~34),400,1,2020-03-11 17:46,중소벤처기업부,중소기업@예비창업자,한국사회적기업진흥원,지속성장본부 판로지원팀,031-697-7836,http://www.socialenterprise.or.kr/,사업담당자,NULL
22,2020년 대ㆍ중소 상생형 스마트공장 구축지원 사업 도입기업 모집 공고,중소기업 제조 현장의 경쟁력 제고를 위하여 중소ㆍ중견기업을 대상으로 각 기업별 규모와 수준에 따른 맞춤형 스마트공장 도입을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 국내 중소ㆍ중견 제조기업이 도입기업으로 참여<br />&nbsp;<br />☞ 유형별 최대 2천만원~1억원 지원,서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@경영@동반성장@기술인력/장비지원@시설/입지지원@동반성장,PBLN_000000000051121,모집단계별 상이,중소기업,제조업(10~34),599,1,2020-03-11 17:38,중소벤처기업부,중소기업@중견기업,중소기업중앙회,스마트공장지원실,02-2124-4312,http://www.kbiz.or.kr/,사업담당자,smart@kbiz.or.kr
23,2020년 스포츠산업 선도기업 육성사업 지원기업 모집 공고,"우수한 역량을 보유한 국내 스포츠기업을 대상으로 글로벌 경쟁력을 갖춘 스포츠 선도 기업으로 육성하기 위해 사업고도화, 해외판로개척, 해외마케팅을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 국내 스포츠용품 제조업, 스포츠서비스업, 스포츠시설업을 영위하는 중소&nbsp;스포츠기업<br />&nbsp;<br />☞ 기업당 지원액은 연간 최대 2.8억원 이내 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,경영@수출@수출@디자인/상품화/사업화@시장개척@해외진출,PBLN_000000000051120,20200309 ~ 20200327,중소기업,"제조업(10~34)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@예술, 스포츠 및 여가관련 서비스업(90~91)",475,1,2020-03-11 17:08,문화체육관광부,중소기업,한국능률협회컨설팅,정부지원사업추진센터,02-3786-0179,http://www.kmac.co.kr/,채선영,NULL
24,2020년 글로벌 파트너링(GP) 사업 공고,"<p style=""margin: 0px"">국내 중소ㆍ중견 소재ㆍ부품ㆍ장비기업의 글로벌 밸류체인 진입과 수출 확대를 위해 해외 글로벌기업과의 비즈니스 미팅 및 핀포인트(1:1) 상담, 현지 GP센터 입주 등을 지원해 드리는 사업입니다.</p>
<p style=""margin: 0px"">&nbsp;</p>
<p style=""margin: 0px"">☞ 글로벌 밸류체인 진입을 희망하는 유망 중소ㆍ중견기업</p>
<p style=""margin: 0px"">&nbsp;</p>
<p style=""margin: 0px"">☞ GP 수출상담회, 해외 GP 센터, GP매칭 등 지원</p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,수출@기술@경영@해외진출@기술사업화/이전/지도@컨설팅,PBLN_000000000051124,사업별 상이,중소기업,제조업(10~34)@정보통신업(58~63),542,1,2020-03-11 17:05,산업통상자원부,중소기업@중견기업,대한무역투자진흥공사,소재부품팀,02-3460-7644,http://www.kotra.or.kr/,사업담당자,globalpartnering@kotra.or.kr
25,2020년 클라우드컴퓨팅 활성화를 위한 지원사업 통합 공고,"<p style=""margin: 0px"">국내 클라우드 컴퓨팅 산업발전과 다양한 산업으로의 확산을 위해 클라우드 서비스 개발 및 서비스 확산에 필요한 기술개발을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 국내 클라우드 기업 컨소시엄 등</p>
<p style=""margin: 0px"">&nbsp;<br />☞ 범부처 협업 클라우드 혁신사례 창출, 클라우드 활용 서비스 개발, 클라우드 서비스 확산 등 지원</p>",충남@전북@전남@경북@경남@제주@서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북,기술@경영@기술@공동기술개발@디자인/상품화/사업화@기술사업화/이전/지도,PBLN_000000000051146,20200310 ~ 20200408,중소기업,제조업(10~34)@정보통신업(58~63),394,1,2020-03-11 17:00,과학기술정보통신부,중소기업@중견기업,정보통신산업진흥원,사업담당부서,(대표번호) 043-931-5000,http://www.nipa.kr/,사업담당자,NULL
26,중소기업중앙회 업종별 특화 스마트공장 구축지원 사업 모집 공고,"중소기업 제조 현장의 경쟁력 제고를 위하여 제조공정(업종)별 특화 솔루션 및 솔루션 연동 자동화장비ㆍ제어기ㆍ센서 등 구축을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 국내 중소ㆍ중견 제조기업 및 중소기업협동조합들이 도입기업으로 컨소시엄을 이루어 참여<br />&nbsp;<br />☞ 신규구축(총 사업비의 50%, 최대 1억원), 고도화(총 사업비의 50%, 최대 1.5억원) 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@경영@동반성장@기술인력/장비지원@시설/입지지원@동반성장,PBLN_000000000051132,예산 소진시까지,중소기업,제조업(10~34),440,1,2020-03-11 16:39,중소벤처기업부,중소기업@중견기업,중소기업중앙회,스마트공장지원실,02-2124-4312,http://www.kbiz.or.kr/,사업담당자,smart@kbiz.or.kr
